id,session_id,iki_variance,backspace_ratio,dwell_time,mouse_activity,app_switch_rate,fatigue_label
12,4b708a3f,842.3651,0.0,0.1789,358,7,5
13,2702b0ca,3.1488,0.3,0.1268,532,9,3
14,2702b0ca,0.0274,0.0,0.0935,532,9,3
15,2702b0ca,0.0115,0.0,0.0983,532,9,3
16,2702b0ca,0.0562,0.5,0.0764,532,9,3
17,2702b0ca,30.9284,0.0,0.1871,532,9,3
18,c748451e,1182.182,0.0,0.4011,1225,7,2
19,c748451e,23.2466,0.0,0.3782,1225,7,2
20,c748451e,1106.1157,0.0,0.3805,1225,7,2
21,00495c7f,106.7756,0.0,0.1775,449,5,3
611,7fc69ad3,0.0045,0.0,0.1,1198,42,3
612,7fc69ad3,181.4834,0.0,0.0821,1198,42,3
613,7fc69ad3,222.7706,0.0,0.2484,1198,42,3
614,7fc69ad3,93.4257,0.0,0.2748,1198,42,3
615,7fc69ad3,0.028,0.0,0.0937,1198,42,3
616,7fc69ad3,0.0212,0.0,0.0815,1198,42,3
617,7fc69ad3,0.0079,0.0,0.0852,1198,42,3
618,7fc69ad3,0.0263,0.1,0.0834,1198,42,3
619,7fc69ad3,0.0188,0.0,0.0814,1198,42,3
620,7fc69ad3,359.274,0.0,0.0917,1198,42,3
621,7fc69ad3,0.275,0.5,0.1456,1198,42,3
622,7fc69ad3,25.3486,0.0,0.6013,1198,42,3
623,7fc69ad3,235.3205,0.3,0.2531,1198,42,3
624,7fc69ad3,52.3098,0.6,0.1491,1198,42,3
625,7fc69ad3,0.0046,0.0,0.1087,1198,42,3
626,7fc69ad3,0.0412,0.0,0.1087,1198,42,3
627,7fc69ad3,0.0154,0.0,0.0935,1198,42,3
628,7fc69ad3,0.0782,0.0,0.0964,1198,42,3
629,7fc69ad3,0.244,0.1,0.0998,1198,42,3
630,7fc69ad3,0.0659,0.0,0.0994,1198,42,3
631,7fc69ad3,0.0037,0.0,0.1066,1198,42,3
632,7fc69ad3,0.0386,0.0,0.0988,1198,42,3
633,7fc69ad3,306.1712,0.0,0.0991,1198,42,3
634,7fc69ad3,71.0569,0.0,0.1041,1198,42,3
635,7fc69ad3,0.3367,0.0,0.1254,1198,42,3
636,7fc69ad3,0.0148,0.0,0.0986,1198,42,3
637,7fc69ad3,0.003,0.0,0.1003,1198,42,3
638,7fc69ad3,0.0125,0.0,0.0986,1198,42,3
639,7fc69ad3,128.3769,0.0,0.1167,1198,42,3
